C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,name,type
2,2,2,2,2,2,23,5,36,24,high_value_stacker_113,high_value_stacker
2,2,2,2,2,2,7,14,29,38,high_value_stacker_114,high_value_stacker
2,2,2,2,2,2,21,32,5,30,high_value_stacker_115,high_value_stacker
2,2,2,2,2,2,17,13,34,24,high_value_stacker_116,high_value_stacker
2,2,2,2,2,2,10,8,26,44,high_value_stacker_117,high_value_stacker
2,2,2,2,2,2,24,35,19,10,high_value_stacker_118,high_value_stacker
2,2,2,2,2,2,6,42,15,25,high_value_stacker_119,high_value_stacker
2,2,2,2,2,2,7,13,23,45,high_value_stacker_120,high_value_stacker
2,2,2,2,2,2,14,26,36,12,high_value_stacker_121,high_value_stacker
2,2,2,2,2,2,5,42,12,29,high_value_stacker_122,high_value_stacker
2,2,2,2,2,2,5,22,41,20,high_value_stacker_123,high_value_stacker
2,2,2,2,2,2,23,39,13,13,high_value_stacker_124,high_value_stacker
2,2,2,2,2,2,35,15,5,33,high_value_stacker_125,high_value_stacker
2,2,2,2,2,2,52,18,6,12,high_value_stacker_126,high_value_stacker
2,2,2,2,2,2,15,10,42,21,high_value_stacker_127,high_value_stacker
2,2,2,2,2,2,11,37,14,26,high_value_stacker_128,high_value_stacker
2,2,2,2,2,2,17,13,39,19,high_value_stacker_129,high_value_stacker
2,2,2,2,2,2,22,19,21,26,high_value_stacker_130,high_value_stacker
2,2,2,2,2,2,21,8,8,51,high_value_stacker_131,high_value_stacker
2,2,2,2,2,2,4,14,29,41,high_value_stacker_132,high_value_stacker
2,2,2,2,2,2,33,8,35,12,high_value_stacker_133,high_value_stacker
2,2,2,2,2,2,51,30,5,2,high_value_stacker_134,high_value_stacker
2,2,2,2,2,2,26,6,51,5,high_value_stacker_135,high_value_stacker
2,2,2,2,2,2,13,8,23,44,high_value_stacker_136,high_value_stacker
2,2,2,2,2,2,7,16,46,19,high_value_stacker_137,high_value_stacker
2,2,2,2,2,2,7,44,16,21,high_value_stacker_138,high_value_stacker
2,2,2,2,2,2,27,14,27,20,high_value_stacker_139,high_value_stacker
2,2,2,2,2,2,51,20,14,3,high_value_stacker_140,high_value_stacker
2,2,2,2,2,2,6,15,31,36,high_value_stacker_141,high_value_stacker
2,2,2,2,2,2,62,11,4,11,high_value_stacker_142,high_value_stacker
2,2,2,2,2,2,50,14,16,8,high_value_stacker_143,high_value_stacker
2,2,2,2,2,2,45,18,20,5,high_value_stacker_144,high_value_stacker
2,2,2,2,2,2,26,40,2,20,high_value_stacker_145,high_value_stacker
2,2,2,2,2,2,3,33,49,3,high_value_stacker_146,high_value_stacker
2,2,2,2,2,2,20,50,5,13,high_value_stacker_147,high_value_stacker
2,2,2,2,2,2,26,11,43,8,high_value_stacker_148,high_value_stacker
2,2,2,2,2,2,19,39,15,15,high_value_stacker_149,high_value_stacker
2,2,2,2,2,2,11,8,14,55,high_value_stacker_150,high_value_stacker
2,2,2,2,2,2,19,13,48,8,high_value_stacker_151,high_value_stacker
2,2,2,2,2,2,30,17,16,25,high_value_stacker_152,high_value_stacker
2,2,2,2,2,2,18,47,15,8,high_value_stacker_153,high_value_stacker
2,2,2,2,2,2,19,19,35,15,high_value_stacker_154,high_value_stacker
2,2,2,2,2,2,5,2,10,71,high_value_stacker_155,high_value_stacker
2,2,2,2,2,2,17,31,28,12,high_value_stacker_156,high_value_stacker
2,2,2,2,2,2,9,16,19,44,high_value_stacker_157,high_value_stacker
2,2,2,2,2,2,33,21,20,14,high_value_stacker_158,high_value_stacker
2,2,2,2,2,2,31,13,22,22,high_value_stacker_159,high_value_stacker
2,2,2,2,2,2,20,12,28,28,high_value_stacker_160,high_value_stacker
2,2,2,2,2,2,8,7,9,64,high_value_stacker_161,high_value_stacker
2,2,2,2,2,2,11,15,8,54,high_value_stacker_162,high_value_stacker
2,2,2,2,2,2,40,3,41,4,high_value_stacker_163,high_value_stacker
2,2,2,2,2,2,21,16,23,28,high_value_stacker_164,high_value_stacker
2,2,2,2,2,2,9,21,44,14,high_value_stacker_165,high_value_stacker
2,2,2,2,2,2,23,8,16,41,high_value_stacker_166,high_value_stacker
2,2,2,2,2,2,4,9,16,59,high_value_stacker_167,high_value_stacker
2,2,2,2,2,2,28,8,3,49,high_value_stacker_168,high_value_stacker
2,2,2,2,2,2,2,38,45,3,high_value_stacker_169,high_value_stacker
2,2,2,2,2,2,15,36,14,23,high_value_stacker_170,high_value_stacker
2,2,2,2,2,2,40,31,9,8,high_value_stacker_171,high_value_stacker
2,2,2,2,2,2,52,9,3,24,high_value_stacker_172,high_value_stacker
2,2,2,2,2,2,18,2,57,11,high_value_stacker_173,high_value_stacker
2,2,2,2,2,2,6,22,46,14,high_value_stacker_174,high_value_stacker
2,2,2,2,2,2,11,8,55,14,high_value_stacker_175,high_value_stacker
2,2,2,2,2,2,25,12,46,5,high_value_stacker_176,high_value_stacker
2,2,2,2,2,2,39,9,4,36,high_value_stacker_177,high_value_stacker
2,2,2,2,2,2,13,17,18,40,high_value_stacker_178,high_value_stacker
2,2,2,2,2,2,25,29,23,11,high_value_stacker_179,high_value_stacker
2,2,2,2,2,2,4,43,32,9,high_value_stacker_180,high_value_stacker
2,2,2,2,2,2,6,22,23,37,high_value_stacker_181,high_value_stacker
2,2,2,2,2,2,15,37,20,16,high_value_stacker_182,high_value_stacker
2,2,2,2,2,2,3,29,47,9,high_value_stacker_183,high_value_stacker
2,2,2,2,2,2,17,57,5,9,high_value_stacker_184,high_value_stacker
2,2,2,2,2,2,15,5,31,37,high_value_stacker_185,high_value_stacker
2,2,2,2,2,2,56,18,9,5,high_value_stacker_186,high_value_stacker
2,2,2,2,2,2,18,50,18,2,high_value_stacker_187,high_value_stacker
2,2,2,2,2,2,13,13,5,57,high_value_stacker_188,high_value_stacker
2,2,2,2,2,2,10,37,17,24,high_value_stacker_189,high_value_stacker
2,2,2,2,2,2,24,36,11,17,high_value_stacker_190,high_value_stacker
2,2,2,2,2,2,35,42,4,7,high_value_stacker_191,high_value_stacker
2,2,2,2,2,2,5,27,30,26,high_value_stacker_192,high_value_stacker
2,2,2,2,2,2,6,16,49,17,high_value_stacker_193,high_value_stacker
2,2,2,2,2,2,3,39,9,37,high_value_stacker_194,high_value_stacker
2,2,2,2,2,2,14,28,7,39,high_value_stacker_195,high_value_stacker
2,2,2,2,2,2,7,49,21,11,high_value_stacker_196,high_value_stacker
2,2,2,2,2,2,7,45,6,30,high_value_stacker_197,high_value_stacker
2,2,2,2,2,2,49,20,13,6,high_value_stacker_198,high_value_stacker
2,2,2,2,2,2,9,18,20,41,high_value_stacker_199,high_value_stacker
2,2,2,2,2,2,5,29,50,4,high_value_stacker_200,high_value_stacker
2,2,2,2,2,2,26,21,38,3,high_value_stacker_201,high_value_stacker
2,2,2,2,2,2,14,30,38,6,high_value_stacker_202,high_value_stacker
2,2,2,2,2,2,14,30,29,15,high_value_stacker_203,high_value_stacker
2,2,2,2,2,2,28,8,41,11,high_value_stacker_204,high_value_stacker
2,2,2,2,2,2,22,10,19,37,high_value_stacker_205,high_value_stacker
2,2,2,2,2,2,49,3,14,22,high_value_stacker_206,high_value_stacker
2,2,2,2,2,2,12,5,57,14,high_value_stacker_207,high_value_stacker
2,2,2,2,2,2,16,4,17,51,high_value_stacker_208,high_value_stacker
2,2,2,2,2,2,6,2,71,9,high_value_stacker_209,high_value_stacker
2,2,2,2,2,2,9,23,13,43,high_value_stacker_210,high_value_stacker
2,2,2,2,2,2,25,18,35,10,high_value_stacker_211,high_value_stacker
2,2,2,2,2,2,12,17,20,39,high_value_stacker_212,high_value_stacker
2,2,2,2,2,2,23,12,10,43,high_value_stacker_213,high_value_stacker
2,2,2,2,2,2,35,3,15,35,high_value_stacker_214,high_value_stacker
2,2,2,2,2,2,7,16,42,23,high_value_stacker_215,high_value_stacker
2,2,2,2,2,2,36,15,26,11,high_value_stacker_216,high_value_stacker
2,2,2,2,2,2,10,9,18,51,high_value_stacker_217,high_value_stacker
2,2,2,2,2,2,35,39,9,5,high_value_stacker_218,high_value_stacker
2,2,2,2,2,2,26,5,25,32,high_value_stacker_219,high_value_stacker
2,2,2,2,2,2,15,28,38,7,high_value_stacker_220,high_value_stacker
2,2,2,2,2,2,12,30,3,43,high_value_stacker_221,high_value_stacker
2,2,2,2,2,2,8,37,30,13,high_value_stacker_222,high_value_stacker
2,2,2,2,2,2,16,24,5,43,high_value_stacker_223,high_value_stacker
2,2,2,2,2,2,42,5,24,17,high_value_stacker_224,high_value_stacker
2,2,2,2,2,2,25,7,40,16,high_value_stacker_225,high_value_stacker
2,2,2,2,2,2,36,6,34,12,high_value_stacker_226,high_value_stacker
2,2,2,2,2,2,5,61,12,10,high_value_stacker_227,high_value_stacker
2,2,2,2,2,2,33,12,32,11,high_value_stacker_228,high_value_stacker
2,2,2,2,2,2,40,5,21,22,high_value_stacker_229,high_value_stacker
2,2,2,2,2,2,26,4,21,37,high_value_stacker_230,high_value_stacker
2,2,2,2,2,2,41,22,8,17,high_value_stacker_231,high_value_stacker
2,2,2,2,2,2,40,10,16,22,high_value_stacker_232,high_value_stacker
2,2,2,2,2,2,16,20,35,17,high_value_stacker_233,high_value_stacker
2,2,2,2,2,2,45,25,15,3,high_value_stacker_234,high_value_stacker
2,2,2,2,2,2,16,49,11,12,high_value_stacker_235,high_value_stacker
2,2,2,2,2,2,16,41,17,14,high_value_stacker_236,high_value_stacker
2,2,2,2,2,2,26,14,35,13,high_value_stacker_237,high_value_stacker
2,2,2,2,2,2,19,45,3,21,high_value_stacker_238,high_value_stacker
2,2,2,2,2,2,46,7,32,3,high_value_stacker_239,high_value_stacker
2,2,2,2,2,2,21,10,28,29,high_value_stacker_240,high_value_stacker
2,2,2,2,2,2,17,4,33,34,high_value_stacker_241,high_value_stacker
2,2,2,2,2,2,13,16,3,56,high_value_stacker_242,high_value_stacker
2,2,2,2,2,2,6,28,10,44,high_value_stacker_243,high_value_stacker
2,2,2,2,2,2,6,23,27,32,high_value_stacker_244,high_value_stacker
2,2,2,2,2,2,5,13,52,18,high_value_stacker_245,high_value_stacker
2,2,2,2,2,2,39,34,12,3,high_value_stacker_246,high_value_stacker
2,2,2,2,2,2,4,57,7,20,high_value_stacker_247,high_value_stacker
2,2,2,2,2,2,10,46,29,3,high_value_stacker_248,high_value_stacker
2,2,2,2,2,2,32,8,12,36,high_value_stacker_249,high_value_stacker
2,2,2,2,2,2,35,16,34,3,high_value_stacker_250,high_value_stacker
2,2,2,25,17,43,3,2,2,2,mid_range_controller_1,mid_range_controller
2,2,2,46,16,16,10,2,2,2,mid_range_controller_2,mid_range_controller
2,2,2,5,50,15,18,2,2,2,mid_range_controller_3,mid_range_controller
2,2,2,16,19,40,13,2,2,2,mid_range_controller_4,mid_range_controller
2,2,2,5,52,28,3,2,2,2,mid_range_controller_5,mid_range_controller
2,2,2,26,7,30,25,2,2,2,mid_range_controller_6,mid_range_controller
2,2,2,15,20,45,8,2,2,2,mid_range_controller_7,mid_range_controller
2,2,2,29,4,17,38,2,2,2,mid_range_controller_8,mid_range_controller
2,2,2,11,9,61,7,2,2,2,mid_range_controller_9,mid_range_controller
2,2,2,41,35,4,8,2,2,2,mid_range_controller_10,mid_range_controller
2,2,2,42,12,11,23,2,2,2,mid_range_controller_11,mid_range_controller
2,2,2,57,22,3,6,2,2,2,mid_range_controller_12,mid_range_controller
2,2,2,27,27,26,8,2,2,2,mid_range_controller_13,mid_range_controller
2,2,2,6,7,72,3,2,2,2,mid_range_controller_14,mid_range_controller
2,2,2,4,30,13,41,2,2,2,mid_range_controller_15,mid_range_controller
2,2,2,21,57,5,5,2,2,2,mid_range_controller_16,mid_range_controller
2,2,2,23,40,2,23,2,2,2,mid_range_controller_17,mid_range_controller
2,2,2,37,35,10,6,2,2,2,mid_range_controller_18,mid_range_controller
2,2,2,5,45,25,13,2,2,2,mid_range_controller_19,mid_range_controller
2,2,2,20,26,7,35,2,2,2,mid_range_controller_20,mid_range_controller
2,2,2,4,7,22,55,2,2,2,mid_range_controller_21,mid_range_controller
2,2,2,14,36,27,11,2,2,2,mid_range_controller_22,mid_range_controller
2,2,2,38,22,4,24,2,2,2,mid_range_controller_23,mid_range_controller
2,2,2,18,20,45,5,2,2,2,mid_range_controller_24,mid_range_controller
2,2,2,13,14,55,6,2,2,2,mid_range_controller_25,mid_range_controller
2,2,2,28,35,14,11,2,2,2,mid_range_controller_26,mid_range_controller
2,2,2,12,4,38,34,2,2,2,mid_range_controller_27,mid_range_controller
2,2,2,4,63,4,17,2,2,2,mid_range_controller_28,mid_range_controller
2,2,2,10,29,12,37,2,2,2,mid_range_controller_29,mid_range_controller
2,2,2,13,7,22,46,2,2,2,mid_range_controller_30,mid_range_controller
2,2,2,29,19,36,4,2,2,2,mid_range_controller_31,mid_range_controller
2,2,2,37,28,20,3,2,2,2,mid_range_controller_32,mid_range_controller
2,2,2,4,23,30,31,2,2,2,mid_range_controller_33,mid_range_controller
2,2,2,3,17,9,59,2,2,2,mid_range_controller_34,mid_range_controller
2,2,2,22,38,2,26,2,2,2,mid_range_controller_35,mid_range_controller
2,2,2,30,5,26,27,2,2,2,mid_range_controller_36,mid_range_controller
2,2,2,12,51,11,14,2,2,2,mid_range_controller_37,mid_range_controller
2,2,2,14,18,8,48,2,2,2,mid_range_controller_38,mid_range_controller
2,2,2,41,28,8,11,2,2,2,mid_range_controller_39,mid_range_controller
2,2,2,30,21,29,8,2,2,2,mid_range_controller_40,mid_range_controller
2,2,2,4,63,3,18,2,2,2,mid_range_controller_41,mid_range_controller
2,2,2,27,20,28,13,2,2,2,mid_range_controller_42,mid_range_controller
2,2,2,2,20,61,5,2,2,2,mid_range_controller_43,mid_range_controller
2,2,2,38,6,12,32,2,2,2,mid_range_controller_44,mid_range_controller
2,2,2,3,53,11,21,2,2,2,mid_range_controller_45,mid_range_controller
2,2,2,51,15,6,16,2,2,2,mid_range_controller_46,mid_range_controller
2,2,2,57,11,17,3,2,2,2,mid_range_controller_47,mid_range_controller
2,2,2,53,28,4,3,2,2,2,mid_range_controller_48,mid_range_controller
2,2,2,30,4,10,44,2,2,2,mid_range_controller_49,mid_range_controller
2,2,2,2,9,4,73,2,2,2,mid_range_controller_50,mid_range_controller
2,2,2,33,12,26,17,2,2,2,mid_range_controller_51,mid_range_controller
2,2,2,12,21,9,46,2,2,2,mid_range_controller_52,mid_range_controller
2,2,2,12,15,40,21,2,2,2,mid_range_controller_53,mid_range_controller
2,2,2,6,13,19,50,2,2,2,mid_range_controller_54,mid_range_controller
2,2,2,19,39,20,10,2,2,2,mid_range_controller_55,mid_range_controller
2,2,2,31,10,33,14,2,2,2,mid_range_controller_56,mid_range_controller
2,2,2,13,29,35,11,2,2,2,mid_range_controller_57,mid_range_controller
2,2,2,4,41,39,4,2,2,2,mid_range_controller_58,mid_range_controller
2,2,2,7,36,9,36,2,2,2,mid_range_controller_59,mid_range_controller
2,2,2,14,18,16,40,2,2,2,mid_range_controller_60,mid_range_controller
2,2,2,29,28,13,18,2,2,2,mid_range_controller_61,mid_range_controller
2,2,2,15,10,37,26,2,2,2,mid_range_controller_62,mid_range_controller
2,2,2,31,20,35,2,2,2,2,mid_range_controller_63,mid_range_controller
2,2,2,41,23,20,4,2,2,2,mid_range_controller_64,mid_range_controller
2,2,2,17,11,4,56,2,2,2,mid_range_controller_65,mid_range_controller
2,2,2,2,41,43,2,2,2,2,mid_range_controller_66,mid_range_controller
2,2,2,30,3,44,11,2,2,2,mid_range_controller_67,mid_range_controller
2,2,2,40,6,30,12,2,2,2,mid_range_controller_68,mid_range_controller
2,2,2,50,13,15,10,2,2,2,mid_range_controller_69,mid_range_controller
2,2,2,25,11,49,3,2,2,2,mid_range_controller_70,mid_range_controller
2,2,2,20,16,35,17,2,2,2,mid_range_controller_71,mid_range_controller
2,2,2,59,12,7,10,2,2,2,mid_range_controller_72,mid_range_controller
2,2,2,42,4,18,24,2,2,2,mid_range_controller_73,mid_range_controller
2,2,2,4,58,15,11,2,2,2,mid_range_controller_74,mid_range_controller
2,2,2,27,8,32,21,2,2,2,mid_range_controller_75,mid_range_controller
2,2,2,6,58,9,15,2,2,2,mid_range_controller_76,mid_range_controller
2,2,2,33,14,15,26,2,2,2,mid_range_controller_77,mid_range_controller
2,2,2,4,9,38,37,2,2,2,mid_range_controller_78,mid_range_controller
2,2,2,7,12,39,30,2,2,2,mid_range_controller_79,mid_range_controller
2,2,2,19,41,23,5,2,2,2,mid_range_controller_80,mid_range_controller
2,2,2,5,4,32,47,2,2,2,mid_range_controller_81,mid_range_controller
2,2,2,27,4,19,38,2,2,2,mid_range_controller_82,mid_range_controller
2,2,2,7,6,57,18,2,2,2,mid_range_controller_83,mid_range_controller
2,2,2,29,13,16,30,2,2,2,mid_range_controller_84,mid_range_controller
2,2,2,36,42,2,8,2,2,2,mid_range_controller_85,mid_range_controller
2,2,2,39,30,4,15,2,2,2,mid_range_controller_86,mid_range_controller
2,2,2,9,25,42,12,2,2,2,mid_range_controller_87,mid_range_controller
2,2,2,6,11,11,60,2,2,2,mid_range_controller_88,mid_range_controller
2,2,2,51,15,8,14,2,2,2,mid_range_controller_89,mid_range_controller
2,2,2,52,5,24,7,2,2,2,mid_range_controller_90,mid_range_controller
2,2,2,20,18,33,17,2,2,2,mid_range_controller_91,mid_range_controller
2,2,2,10,20,15,43,2,2,2,mid_range_controller_92,mid_range_controller
2,2,2,12,4,67,5,2,2,2,mid_range_controller_93,mid_range_controller
2,2,2,50,13,22,3,2,2,2,mid_range_controller_94,mid_range_controller
2,2,2,36,15,30,7,2,2,2,mid_range_controller_95,mid_range_controller
2,2,2,33,15,3,37,2,2,2,mid_range_controller_96,mid_range_controller
2,2,2,12,3,66,7,2,2,2,mid_range_controller_97,mid_range_controller
2,2,2,4,13,18,53,2,2,2,mid_range_controller_98,mid_range_controller
2,2,2,39,6,30,13,2,2,2,mid_range_controller_99,mid_range_controller
2,2,2,6,14,41,27,2,2,2,mid_range_controller_100,mid_range_controller
2,2,2,14,40,12,22,2,2,2,mid_range_controller_101,mid_range_controller
2,2,2,12,19,29,28,2,2,2,mid_range_controller_102,mid_range_controller
2,2,2,23,5,50,10,2,2,2,mid_range_controller_103,mid_range_controller
2,2,2,3,30,45,10,2,2,2,mid_range_controller_104,mid_range_controller
2,2,2,11,26,47,4,2,2,2,mid_range_controller_105,mid_range_controller
2,2,2,15,17,37,19,2,2,2,mid_range_controller_106,mid_range_controller
2,2,2,2,4,39,43,2,2,2,mid_range_controller_107,mid_range_controller
2,2,2,31,7,43,7,2,2,2,mid_range_controller_108,mid_range_controller
2,2,2,23,18,26,21,2,2,2,mid_range_controller_109,mid_range_controller
2,2,2,8,6,3,71,2,2,2,mid_range_controller_110,mid_range_controller
2,2,2,5,52,17,14,2,2,2,mid_range_controller_111,mid_range_controller
2,2,2,34,16,18,20,2,2,2,mid_range_controller_112,mid_range_controller
2,2,2,21,22,17,28,2,2,2,mid_range_controller_113,mid_range_controller
2,2,2,13,21,42,12,2,2,2,mid_range_controller_114,mid_range_controller
2,2,2,14,16,42,16,2,2,2,mid_range_controller_115,mid_range_controller
2,2,2,5,27,53,3,2,2,2,mid_range_controller_116,mid_range_controller
